Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Ann Avg
2021,129600,140500,145400,155200,165100,175000,180700,183400,185200,189400,193700,195300,
2020,269400,270400,252800,73500,103600,116700,134100,146500,153000,162100,160200,142300,165400
2019,268500,268900,272100,276400,280500,282500,280600,277000,278100,278900,280500,280900,277100
2018,269300,269400,272300,274100,279700,282600,278200,275700,276100,278100,277800,278000,275900
2017,262200,263000,265500,270900,278000,281300,278700,277600,278200,280100,280100,280100,274600
2016,252500,252900,255700,261100,264100,268000,265800,265000,265700,266800,268400,269000,262900
2015,244300,244800,246500,251300,258500,261400,260100,259000,258900,260600,261600,261900,255700
2014,227500,229700,232100,237100,243500,246500,244600,243600,244500,249300,250700,251300,241700
2013,212000,213700,216800,221400,226500,230000,229200,228900,230600,233000,235500,236100,226100
2012,201600,203900,207200,209700,214500,217100,215500,216000,216800,219500,216600,218900,213100
2011,187700,189500,192400,195600,199400,202300,201100,200300,202400,203500,205600,206600,198900
2010,173200,174100,176400,181400,184300,186500,186200,186300,187200,189700,191400,193200,184200
2009,167200,166900,167500,169600,173500,175600,174200,173500,175400,177000,177700,178300,173000
2008,163400,165400,166700,169800,172500,174200,172900,171700,173100,174500,174700,174300,171100
2007,155000,156500,158100,161300,164400,165900,164700,164100,164800,166800,168700,169600,163300
2006,145700,147700,150900,152500,156000,157500,156200,154900,156300,157300,159500,161000,154600
2005,142200,143200,145900,148300,150800,153100,150200,149700,151000,150500,152200,153200,149200
2004,135700,136100,138200,140500,143400,145200,144800,144600,145400,146200,147300,148900,143000
2003,133700,134200,134800,135700,138400,139800,138000,136600,138500,139900,141600,142100,137800
2002,125900,127900,130200,132700,135900,136800,134500,134600,135200,137100,138800,139500,134100
2001,134200,135000,136500,136700,139900,141000,137500,137200,139000,130100,131700,134100,136100
2000,127800,129300,130600,133100,135300,137000,136200,135900,136600,138000,139900,141400,135100
1999,121800,122200,123600,126100,127800,129400,126700,126800,127400,129600,132400,135100,127400
1998,115200,116300,117300,118700,122200,123100,121200,120800,121800,123800,125300,126700,121000
1997,109300,109900,111200,113300,116600,117900,115600,115400,117200,117400,119600,120300,115300
1996,102100,103400,105100,105700,109600,110200,108500,108400,110100,111400,112700,114300,108500
1995,98800,99300,100700,101900,104100,106000,103500,103100,105600,104700,107600,108700,103700
1994,97900,96800,98400,100900,102700,103500,101700,101200,103500,103900,105100,106600,101900
1993,95800,96300,95700,97600,100200,100700,98000,98100,100000,100700,101500,102900,99000
1992,95900,95200,96000,97000,98400,99100,97400,96100,97900,98100,99100,99900,97500
1991,104300,103600,104600,104700,105400,106200,102600,102000,103500,103500,103900,105400,104100
1990,113400,112300,113900,114000,115500,116300,113100,113000,114400,112800,113300,113700,113800
