Date, Restaurant Employment 
1/1/2021,129600
2/1/2021,140500
3/1/2021,145400
4/1/2021,155200
5/1/2021,165100
6/1/2021,175000
7/1/2021,180700
8/1/2021,183400
9/1/2021,185200
10/1/2021,189400
11/1/2021,193700
12/1/2021,195300
1/1/2020,269400
2/1/2020,270400
3/1/2020,252800
4/1/2020,73500
5/1/2020,103600
6/1/2020,116700
7/1/2020,134100
8/1/2020,146500
9/1/2020,153000
10/1/2020,162100
11/1/2020,160200
12/1/2020,142300
1/1/2019,268500
2/1/2019,268900
3/1/2019,272100
4/1/2019,276400
5/1/2019,280500
6/1/2019,282500
7/1/2019,280600
8/1/2019,277000
9/1/2019,278100
10/1/2019,278900
5/1/2019,280500
12/1/2019,280900
1/1/2018,269300
2/1/2018,269400
3/1/2018,272300
4/1/2018,274100
5/1/2018,279700
6/1/2018,282600
7/1/2018,278200
8/1/2018,275700
9/1/2018,276100
10/1/2018,278100
11/1/2018,277800
12/1/2018,278000
1/1/2017,262200
2/1/2017,263000
3/1/2017,265500
4/1/2017,270900
5/1/2017,278000
6/1/2017,281300
7/1/2017,278700
8/1/2017,277600
9/1/2017,278200
10/1/2017,280100
10/1/2017,280100
10/1/2017,280100
1/1/2016,252500
2/1/2016,252900
3/1/2016,255700
4/1/2016,261100
5/1/2016,264100
6/1/2016,268000
7/1/2016,265800
8/1/2016,265000
9/1/2016,265700
10/1/2016,266800
11/1/2016,268400
12/1/2016,269000
1/1/2015,244300
2/1/2015,244800
3/1/2015,246500
4/1/2015,251300
5/1/2015,258500
6/1/2015,261400
7/1/2015,260100
8/1/2015,259000
9/1/2015,258900
10/1/2015,260600
11/1/2015,261600
12/1/2015,261900
1/1/2014,227500
2/1/2014,229700
3/1/2014,232100
4/1/2014,237100
5/1/2014,243500
6/1/2014,246500
7/1/2014,244600
8/1/2014,243600
9/1/2014,244500
10/1/2014,249300
11/1/2014,250700
12/1/2014,251300
1/1/2013,212000
2/1/2013,213700
3/1/2013,216800
4/1/2013,221400
5/1/2013,226500
6/1/2013,230000
7/1/2013,229200
8/1/2013,228900
9/1/2013,230600
10/1/2013,233000
11/1/2013,235500
12/1/2013,236100
1/1/2012,201600
2/1/2012,203900
3/1/2012,207200
4/1/2012,209700
5/1/2012,214500
6/1/2012,217100
7/1/2012,215500
8/1/2012,216000
9/1/2012,216800
10/1/2012,219500
11/1/2012,216600
12/1/2012,218900
1/1/2011,187700
2/1/2011,189500
3/1/2011,192400
4/1/2011,195600
5/1/2011,199400
6/1/2011,202300
7/1/2011,201100
8/1/2011,200300
9/1/2011,202400
10/1/2011,203500
11/1/2011,205600
12/1/2011,206600
1/1/2010,173200
2/1/2010,174100
3/1/2010,176400
4/1/2010,181400
5/1/2010,184300
6/1/2010,186500
7/1/2010,186200
8/1/2010,186300
9/1/2010,187200
10/1/2010,189700
11/1/2010,191400
12/1/2010,193200
1/1/2009,167200
2/1/2009,166900
3/1/2009,167500
4/1/2009,169600
5/1/2009,173500
6/1/2009,175600
7/1/2009,174200
5/1/2009,173500
9/1/2009,175400
10/1/2009,177000
11/1/2009,177700
12/1/2009,178300
1/1/2008,163400
2/1/2008,165400
3/1/2008,166700
4/1/2008,169800
5/1/2008,172500
6/1/2008,174200
7/1/2008,172900
8/1/2008,171700
9/1/2008,173100
10/1/2008,174500
11/1/2008,174700
12/1/2008,174300
1/1/2007,155000
2/1/2007,156500
3/1/2007,158100
4/1/2007,161300
5/1/2007,164400
6/1/2007,165900
7/1/2007,164700
8/1/2007,164100
9/1/2007,164800
10/1/2007,166800
11/1/2007,168700
12/1/2007,169600
1/1/2006,145700
2/1/2006,147700
3/1/2006,150900
4/1/2006,152500
5/1/2006,156000
6/1/2006,157500
7/1/2006,156200
8/1/2006,154900
9/1/2006,156300
10/1/2006,157300
11/1/2006,159500
12/1/2006,161000
1/1/2005,142200
2/1/2005,143200
3/1/2005,145900
4/1/2005,148300
5/1/2005,150800
6/1/2005,153100
7/1/2005,150200
8/1/2005,149700
9/1/2005,151000
10/1/2005,150500
11/1/2005,152200
12/1/2005,153200
1/1/2004,135700
2/1/2004,136100
3/1/2004,138200
4/1/2004,140500
5/1/2004,143400
6/1/2004,145200
7/1/2004,144800
8/1/2004,144600
9/1/2004,145400
10/1/2004,146200
11/1/2004,147300
12/1/2004,148900
1/1/2003,133700
2/1/2003,134200
3/1/2003,134800
4/1/2003,135700
5/1/2003,138400
6/1/2003,139800
7/1/2003,138000
8/1/2003,136600
