B02001_001E,B02001_001M,B02001_002E,B02001_002M,B02001_003E,B02001_003M,B02001_004E,B02001_004M,B02001_005E,B02001_005M,B02001_006E,B02001_006M,B02001_007E,B02001_007M,B02001_008E,B02001_008M,B02001_009E,B02001_009M,B02001_010E,B02001_010M,GEO_ID,NAME
6864,331,2233,256,3824,301,18,20,181,70,0,17,505,142,103,60,0,17,103,60,1400000US36005000100,"Census Tract 1, Bronx County, New York"
4532,471,1919,437,1371,434,0,12,75,76,0,12,996,447,171,150,71,116,100,96,1400000US36005000200,"Census Tract 2, Bronx County, New York"
5516,558,2436,519,1677,440,17,28,208,185,0,17,889,374,289,182,50,58,239,171,1400000US36005000400,"Census Tract 4, Bronx County, New York"
5825,398,1884,431,2539,435,0,17,76,117,0,17,1129,329,197,120,132,109,65,61,1400000US36005001600,"Census Tract 16, Bronx County, New York"
3141,341,685,209,1123,196,45,96,87,66,0,12,989,218,212,119,130,103,82,68,1400000US36005001900,"Census Tract 19, Bronx County, New York"
9040,924,3170,1078,3779,1190,112,150,0,17,0,17,1529,717,450,375,267,330,183,171,1400000US36005002000,"Census Tract 20, Bronx County, New York"
4302,342,584,242,1616,292,49,61,0,12,0,12,1963,435,90,60,79,58,11,15,1400000US36005002300,"Census Tract 23, Bronx County, New York"
155,209,65,88,90,122,0,12,0,12,0,12,0,12,0,12,0,12,0,12,1400000US36005002400,"Census Tract 24, Bronx County, New York"
5610,617,1100,379,1711,382,19,32,6,10,24,38,2572,722,178,136,167,135,11,17,1400000US36005002500,"Census Tract 25, Bronx County, New York"
2608,362,295,152,862,371,0,12,0,12,0,12,1423,319,28,25,17,27,11,17,1400000US36005002701,"Census Tract 27.01, Bronx County, New York"
4560,485,538,272,2120,573,72,88,0,12,0,12,1648,488,182,132,91,93,91,101,1400000US36005002702,"Census Tract 27.02, Bronx County, New York"
5151,616,655,273,3742,587,0,17,0,17,0,17,536,370,218,162,20,35,198,158,1400000US36005002800,"Census Tract 28, Bronx County, New York"
1689,222,350,146,437,145,0,12,74,90,0,12,729,196,99,70,34,40,65,60,1400000US36005003100,"Census Tract 31, Bronx County, New York"
3277,430,427,236,1091,371,68,110,0,12,0,12,1578,349,113,119,21,26,92,121,1400000US36005003300,"Census Tract 33, Bronx County, New York"
3907,443,503,239,1472,352,96,138,0,12,0,12,1719,442,117,102,104,95,13,24,1400000US36005003500,"Census Tract 35, Bronx County, New York"
250,95,60,60,102,61,0,12,0,12,0,12,88,69,0,12,0,12,0,12,1400000US36005003700,"Census Tract 37, Bronx County, New York"
1350,202,895,206,344,170,7,10,0,12,0,12,104,81,0,12,0,12,0,12,1400000US36005003800,"Census Tract 38, Bronx County, New York"
6260,918,1308,542,1128,738,43,71,0,17,0,17,3758,969,23,50,23,50,0,17,1400000US36005003900,"Census Tract 39, Bronx County, New York"
1475,182,334,125,209,82,19,30,161,75,0,12,710,205,42,34,16,25,26,24,1400000US36005004001,"Census Tract 40.01, Bronx County, New York"
5942,799,970,452,2049,822,219,343,12,38,0,17,2454,640,238,253,182,241,56,83,1400000US36005004100,"Census Tract 41, Bronx County, New York"
7697,818,2407,805,3245,722,0,17,32,40,0,17,1551,605,462,297,395,291,67,76,1400000US36005004200,"Census Tract 42, Bronx County, New York"
5552,510,1065,385,1904,529,0,17,52,77,0,17,2196,422,335,246,231,227,104,137,1400000US36005004300,"Census Tract 43, Bronx County, New York"
4401,336,625,315,1781,405,5,11,113,116,0,12,1772,358,105,74,62,65,43,42,1400000US36005004400,"Census Tract 44, Bronx County, New York"
1961,200,891,254,716,208,0,12,0,12,0,12,267,127,87,111,87,111,0,12,1400000US36005004600,"Census Tract 46, Bronx County, New York"
4563,414,487,229,1012,450,138,138,122,158,0,12,2440,464,364,239,193,151,171,199,1400000US36005004800,"Census Tract 48, Bronx County, New York"
4604,388,292,132,1226,281,55,70,48,53,0,12,2845,434,138,99,61,69,77,73,1400000US36005005001,"Census Tract 50.01, Bronx County, New York"
5592,514,437,199,1195,345,5,11,54,84,0,17,3668,508,233,160,120,131,113,102,1400000US36005005002,"Census Tract 50.02, Bronx County, New York"
5737,559,436,241,2016,502,0,17,34,54,0,17,2991,625,260,299,229,294,31,36,1400000US36005005100,"Census Tract 51, Bronx County, New York"
1956,219,259,162,614,172,36,42,8,12,0,12,994,190,45,38,32,34,13,21,1400000US36005005200,"Census Tract 52, Bronx County, New York"
4888,411,541,222,2744,388,113,123,7,11,0,12,1357,364,126,84,34,32,92,76,1400000US36005005300,"Census Tract 53, Bronx County, New York"
5324,556,517,287,1554,426,310,408,151,95,0,17,2655,564,137,123,39,43,98,110,1400000US36005005400,"Census Tract 54, Bronx County, New York"
2279,251,319,141,632,186,26,39,47,48,0,12,1160,229,95,72,26,20,69,66,1400000US36005005600,"Census Tract 56, Bronx County, New York"
2751,273,483,269,704,207,0,12,42,49,0,12,1307,354,215,241,31,41,184,241,1400000US36005005902,"Census Tract 59.02, Bronx County, New York"
1386,316,364,306,351,175,0,12,51,41,0,12,594,138,26,27,10,16,16,23,1400000US36005006000,"Census Tract 60, Bronx County, New York"
