,GEO_ID,BoroCT,S1903_C03_001E
0,1400000US36005000100,2000100,-
1,1400000US36005000200,2000200,51100
2,1400000US36005000400,2000400,78409
3,1400000US36005001600,2001600,34093
4,1400000US36005001900,2001900,45156
5,1400000US36005002000,2002000,20592
6,1400000US36005002300,2002300,18688
7,1400000US36005002400,2002400,-
8,1400000US36005002500,2002500,23115
9,1400000US36005002701,2002701,18832
10,1400000US36005002702,2002702,13097
11,1400000US36005002800,2002800,51138
12,1400000US36005003100,2003100,43255
13,1400000US36005003300,2003300,22127
14,1400000US36005003500,2003500,31310
15,1400000US36005003700,2003700,-
16,1400000US36005003800,2003800,33681
17,1400000US36005003900,2003900,25772
18,1400000US36005004001,2004001,54868
19,1400000US36005004100,2004100,19643
20,1400000US36005004200,2004200,43293
21,1400000US36005004300,2004300,21689
22,1400000US36005004400,2004400,17297
23,1400000US36005004600,2004600,21360
24,1400000US36005004800,2004800,33403
25,1400000US36005005001,2005001,27009
26,1400000US36005005002,2005002,31795
27,1400000US36005005100,2005100,19115
28,1400000US36005005200,2005200,21140
29,1400000US36005005300,2005300,16583
30,1400000US36005005400,2005400,35189
31,1400000US36005005600,2005600,27153
32,1400000US36005005902,2005902,30844
33,1400000US36005006000,2006000,34898
34,1400000US36005006100,2006100,45361
35,1400000US36005006200,2006200,25206
36,1400000US36005006300,2006300,37306
37,1400000US36005006400,2006400,38415
38,1400000US36005006500,2006500,25467
39,1400000US36005006700,2006700,19813
40,1400000US36005006800,2006800,54395
41,1400000US36005006900,2006900,37590
42,1400000US36005007000,2007000,50500
43,1400000US36005007100,2007100,42292
44,1400000US36005007200,2007200,43197
45,1400000US36005007300,2007300,22344
46,1400000US36005007400,2007400,39537
47,1400000US36005007500,2007500,30706
48,1400000US36005007600,2007600,46176
49,1400000US36005007700,2007700,38417
50,1400000US36005007800,2007800,52360
51,1400000US36005007900,2007900,26307
52,1400000US36005008300,2008300,32167
53,1400000US36005008400,2008400,85750
54,1400000US36005008500,2008500,31370
55,1400000US36005008600,2008600,21848
56,1400000US36005008700,2008700,23967
57,1400000US36005008900,2008900,28642
58,1400000US36005009000,2009000,24487
59,1400000US36005009200,2009200,50176
60,1400000US36005009300,2009300,32852
61,1400000US36005009600,2009600,50809
62,1400000US36005009800,2009800,68487
63,1400000US36005011000,2011000,-
64,1400000US36005011502,2011502,17656
65,1400000US36005011700,2011700,21595
66,1400000US36005011800,2011800,86250
67,1400000US36005011900,2011900,28988
68,1400000US36005012101,2012101,39514
69,1400000US36005012102,2012102,23244
70,1400000US36005012300,2012300,31519
71,1400000US36005012500,2012500,34903
72,1400000US36005012701,2012701,31212
73,1400000US36005012901,2012901,25633
74,1400000US36005013000,2013000,106346
75,1400000US36005013100,2013100,26750
76,1400000US36005013200,2013200,118211
77,1400000US36005013300,2013300,23484
78,1400000US36005013500,2013500,24392
79,1400000US36005013800,2013800,67705
80,1400000US36005014100,2014100,31205
81,1400000US36005014300,2014300,17204
