Question, Rating, Id 
bus_attitude_none,2,1900158301
bus_attitude_temperature,1,1900158301
bus_attitude_empty_seats,2,1900158301
bus_attitude_limit_passengers,2,1900158301
bus_attitude_stops,1,1900158301
bus_attitude_all,1,1900158301
subway_attitude_none,995,1900158301
subway_attitude_temperature,995,1900158301
subway_attitude_empty_seats,995,1900158301
subway_attitude_limit_passengers,995,1900158301
subway_attitude_all,995,1900158301
attitude_telework,4,1900158301
attitude_walk,2,1900158301
attitude_open_street,3,1900158301
attitude_bike,4,1900158301
attitude_drive,1,1900158301
attitude_bus,2,1900158301
attitude_grocery_delivery,4,1900158301
attitude_grocery_pick_up,4,1900158301
attitude_grocery_in_store,1,1900158301
attitude_stay_home,2,1900158301
bus_attitude_none,995,1900169401
bus_attitude_temperature,995,1900169401
bus_attitude_empty_seats,995,1900169401
bus_attitude_limit_passengers,995,1900169401
bus_attitude_stops,995,1900169401
bus_attitude_all,995,1900169401
subway_attitude_none,1,1900169401
subway_attitude_temperature,2,1900169401
subway_attitude_empty_seats,1,1900169401
subway_attitude_limit_passengers,1,1900169401
subway_attitude_all,1,1900169401
attitude_telework,1,1900169401
attitude_walk,3,1900169401
attitude_open_street,5,1900169401
attitude_bike,5,1900169401
attitude_drive,1,1900169401
attitude_bus,3,1900169401
attitude_grocery_delivery,5,1900169401
attitude_grocery_pick_up,4,1900169401
attitude_grocery_in_store,1,1900169401
attitude_stay_home,2,1900169401
bus_attitude_none,5,1900230101
bus_attitude_temperature,5,1900230101
bus_attitude_empty_seats,5,1900230101
bus_attitude_limit_passengers,5,1900230101
bus_attitude_stops,5,1900230101
bus_attitude_all,5,1900230101
subway_attitude_none,995,1900230101
subway_attitude_temperature,995,1900230101
subway_attitude_empty_seats,995,1900230101
subway_attitude_limit_passengers,995,1900230101
subway_attitude_all,995,1900230101
attitude_telework,1,1900230101
attitude_walk,2,1900230101
attitude_open_street,3,1900230101
attitude_bike,3,1900230101
attitude_drive,3,1900230101
attitude_bus,3,1900230101
attitude_grocery_delivery,3,1900230101
attitude_grocery_pick_up,5,1900230101
attitude_grocery_in_store,2,1900230101
attitude_stay_home,3,1900230101
bus_attitude_none,995,1900296201
bus_attitude_temperature,995,1900296201
bus_attitude_empty_seats,995,1900296201
bus_attitude_limit_passengers,995,1900296201
bus_attitude_stops,995,1900296201
bus_attitude_all,995,1900296201
subway_attitude_none,2,1900296201
subway_attitude_temperature,2,1900296201
subway_attitude_empty_seats,2,1900296201
subway_attitude_limit_passengers,2,1900296201
subway_attitude_all,2,1900296201
attitude_telework,995,1900296201
attitude_walk,2,1900296201
attitude_open_street,2,1900296201
attitude_bike,5,1900296201
attitude_drive,3,1900296201
attitude_bus,3,1900296201
attitude_grocery_delivery,3,1900296201
attitude_grocery_pick_up,3,1900296201
attitude_grocery_in_store,2,1900296201
attitude_stay_home,3,1900296201
bus_attitude_none,995,1900330701
bus_attitude_temperature,995,1900330701
bus_attitude_empty_seats,995,1900330701
bus_attitude_limit_passengers,995,1900330701
bus_attitude_stops,995,1900330701
bus_attitude_all,995,1900330701
subway_attitude_none,5,1900330701
subway_attitude_temperature,2,1900330701
subway_attitude_empty_seats,2,1900330701
subway_attitude_limit_passengers,2,1900330701
subway_attitude_all,2,1900330701
attitude_telework,995,1900330701
attitude_walk,1,1900330701
attitude_open_street,1,1900330701
attitude_bike,5,1900330701
attitude_drive,5,1900330701
attitude_bus,3,1900330701
attitude_grocery_delivery,3,1900330701
attitude_grocery_pick_up,1,1900330701
attitude_grocery_in_store,1,1900330701
attitude_stay_home,1,1900330701
bus_attitude_none,2,1900422601
bus_attitude_temperature,4,1900422601
bus_attitude_empty_seats,4,1900422601
bus_attitude_limit_passengers,2,1900422601
bus_attitude_stops,2,1900422601
bus_attitude_all,3,1900422601
subway_attitude_none,995,1900422601
subway_attitude_temperature,995,1900422601
subway_attitude_empty_seats,995,1900422601
subway_attitude_limit_passengers,995,1900422601
subway_attitude_all,995,1900422601
attitude_telework,2,1900422601
attitude_walk,3,1900422601
attitude_open_street,2,1900422601
attitude_bike,4,1900422601
attitude_drive,2,1900422601
attitude_bus,2,1900422601
attitude_grocery_delivery,3,1900422601
attitude_grocery_pick_up,2,1900422601
attitude_grocery_in_store,2,1900422601
attitude_stay_home,2,1900422601
bus_attitude_none,995,1900438701
bus_attitude_temperature,995,1900438701
bus_attitude_empty_seats,995,1900438701
bus_attitude_limit_passengers,995,1900438701
bus_attitude_stops,995,1900438701
bus_attitude_all,995,1900438701
subway_attitude_none,5,1900438701
subway_attitude_temperature,5,1900438701
subway_attitude_empty_seats,5,1900438701
subway_attitude_limit_passengers,5,1900438701
subway_attitude_all,5,1900438701
attitude_telework,995,1900438701
attitude_walk,3,1900438701
attitude_open_street,5,1900438701
attitude_bike,5,1900438701
attitude_drive,1,1900438701
attitude_bus,5,1900438701
attitude_grocery_delivery,4,1900438701
attitude_grocery_pick_up,3,1900438701
attitude_grocery_in_store,3,1900438701
attitude_stay_home,3,1900438701
bus_attitude_none,5,1900444201
bus_attitude_temperature,5,1900444201
bus_attitude_empty_seats,5,1900444201
bus_attitude_limit_passengers,5,1900444201
bus_attitude_stops,5,1900444201
bus_attitude_all,5,1900444201
subway_attitude_none,995,1900444201
subway_attitude_temperature,995,1900444201
subway_attitude_empty_seats,995,1900444201
subway_attitude_limit_passengers,995,1900444201
subway_attitude_all,995,1900444201
attitude_telework,1,1900444201
attitude_walk,5,1900444201
attitude_open_street,2,1900444201
attitude_bike,3,1900444201
attitude_drive,1,1900444201
attitude_bus,3,1900444201
attitude_grocery_delivery,3,1900444201
attitude_grocery_pick_up,3,1900444201
