Open Street (yes/no), Latitude, Longitude 
no,-73.98223,40.727844
no,-73.90453,40.80829
no,-73.99571,40.723366
no,-73.910385,40.729305
no,-73.893456,40.865387
no,-73.837,40.828953
no,-73.89646,40.67413
no,-73.9562,40.58776
no,-73.87687,40.694126
no,-73.73521,40.667732
no,-73.89441,40.656372
no,-73.900055,40.67689
no,-73.83435,40.88385
no,-73.95087,40.828297
no,-73.76976,40.596096
no,-73.75983,40.659348
no,-73.969505,40.675907
no,-73.95016,40.59275
no,-74.00415,40.750168
no,-73.990875,40.682056
no,-73.90734,40.853813
no,-73.91403,40.657
no,-73.88339,40.817352
no,-73.87381,40.669334
no,-73.76579,40.726444
no,-73.9466,40.780693
no,-73.92986,40.767326
no,-73.84976,40.849728
no,-73.9112,40.85482
no,-73.94958,40.650806
no,-73.893135,40.88368
no,-73.953995,40.77882
no,-73.95477,40.63962
no,-73.94656,40.788994
no,-73.9532,40.608807
no,-73.958405,40.636326
no,-73.927376,40.62356
no,-73.90368,40.908436
no,-73.84539,40.8628
no,-73.90612,40.85834
no,-74.0852,40.6052
no,-73.90974,40.654312
no,-73.945175,40.70259
no,-73.930466,40.67582
no,-74.01172,40.612736
no,-73.89913,40.67731
no,-73.77783,40.666145
no,-73.8701,40.73652
no,-73.93649,40.670887
no,-74.1037,40.576504
no,-73.73679,40.73788
no,-73.840225,40.785812
no,-73.971306,40.795326
no,-73.89689,40.822903
no,-73.89723,40.677208
yes,-73.88799,40.743546
no,-73.91299,40.84843
no,-73.95009,40.674313
no,-73.806465,40.670727
no,-73.89396,40.63393
no,-73.97997,40.739166
no,-73.98041,40.748363
no,-73.84603,40.741447
no,-73.95898,40.639305
no,-74.00186,40.60914
no,-73.90329,40.84869
no,-73.845375,40.886303
no,-74.003265,40.65543
no,-73.7269,40.72998
no,-73.82622,40.853477
yes,-73.89787,40.821598
no,-73.94676,40.771076
no,-74.01207,40.643425
no,-73.82544,40.879383
no,-73.869995,40.68213
no,-73.95376,40.76685
no,-73.736275,40.671085
no,-73.81859,40.762566
no,-73.91695,40.671608
no,-73.922,40.65461
no,-74.03016,40.62569
no,-73.92234,40.83661
no,-73.77721,40.708935
no,-73.98323,40.61212
no,-73.98749,40.610153
no,-73.95154,40.799458
no,-73.84105,40.828125
no,-73.96946,40.797836
no,-73.91772,40.834507
no,-73.79102,40.711433
no,-73.789536,40.666008
no,-73.906166,40.862778
no,-73.84097,40.789074
no,-73.93632,40.803024
no,-73.926636,40.81612
no,-73.99028,40.723423
no,-73.98323,40.61212
no,-73.97138,40.690765
no,-73.87759,40.664192
no,-73.84318,40.672146
no,-73.823425,40.865685
no,-73.807175,40.680542
no,-73.91414,40.671875
no,-73.98471,40.710682
no,-73.943726,40.732388
no,-74.17574,40.52676
no,-73.84127,40.90141
no,-73.97184,40.579803
no,-73.85906,40.833412
no,-73.991776,40.610844
no,-73.94884,40.78588
no,-73.78536,40.712284
no,-73.91549,40.765987
no,-73.91068,40.701046
no,-73.99271,40.634468
no,-73.76093,40.666348
no,-73.89845,40.813175
no,-73.823494,40.76465
no,-73.97945,40.642796
no,-74.007996,40.647346
no,-73.89117,40.71946
no,-73.9879,40.754745
no,-73.88714,40.90207
no,-73.85971,40.826275
no,-73.954735,40.61688
no,-73.90191,40.757565
no,-73.74221,40.676693
no,-73.79998,40.70638
no,-73.928375,40.632847
no,-73.91329,40.85962
no,-73.899315,40.695747
no,-73.87643,40.748142
no,-73.840744,40.87003
no,-74.00296,40.631504
no,-74.237366,40.51351
no,-73.7575,40.725975
no,-73.848076,40.84307
no,-73.78282,40.756664
no,-73.969574,40.619396
no,-73.98088,40.659794
yes,-73.95488,40.805096
no,-73.935616,40.761135
no,-73.79914,40.68718
no,-73.807076,40.68581
no,-74.00851,40.744015
no,-74.0027,40.74462
no,-73.777214,40.66744
no,-73.9449,40.84467
no,-74.16495,40.56011
no,-73.915504,40.68576
yes,-73.985504,40.74715
no,-73.954094,40.81636
no,-73.79676,40.724113
no,-73.91588,40.83639
no,-73.932274,40.64195
no,-73.801094,40.865612
no,-73.917015,40.617203
no,-73.94415,40.713085
no,-73.92732,40.818558
no,-73.92285,40.652462
yes,-73.96538,40.711006
no,-73.93627,40.808857
no,-73.83481,40.66632
no,-73.95263,40.643005
no,-73.98786,40.682495
no,-73.90674,40.72773
no,-73.98657,40.75922
no,-73.81792,40.82016
no,-73.88171,40.807247
no,-74.075035,40.625603
no,-73.73586,40.713303
no,-73.731575,40.74457
no,-73.91829,40.819355
no,-73.83193,40.767754
no,-74.23671,40.542408
no,-73.99427,40.746002
no,-73.99381,40.76193
no,-73.95467,40.63811
no,-73.986885,40.640068
no,-73.92848,40.652176
no,-73.99327,40.575695
no,-73.85869,40.74403
no,-74.00443,40.605568
no,-73.93348,40.83863
no,-73.90875,40.688744
no,-73.73827,40.681946
no,-73.901,40.84764
no,-73.9229,40.809105
no,-73.920715,40.608204
no,-73.802635,40.666405
no,-73.79342,40.699512
no,-73.92361,40.65605
no,-73.93992,40.815403
no,-73.90691,40.768887
no,-73.74711,40.595562
no,-73.88459,40.65906
no,-73.93911,40.699135
no,-73.791664,40.704853
no,-73.767525,40.713966
no,-74.01397,40.638153
no,-74.00851,40.744015
no,-73.91206,40.80623
no,-73.94899,40.636208
no,-73.9342,40.862495
no,-73.99083,40.746967
no,-73.94727,40.5775
no,-73.863625,40.702858
no,-73.99004,40.72192
no,-73.894104,40.65888
no,-73.94629,40.777092
no,-73.74736,40.668385
no,-73.8185,40.82251
no,-73.965034,40.65364
no,-73.767815,40.709633
no,-73.904495,40.745117
no,-73.984436,40.713867
no,-73.71168,40.735832
no,-73.95595,40.62334
no,-73.96244,40.663124
no,-73.89027,40.656616
no,-73.978546,40.785786
no,-73.99272,40.736507
no,-73.99123,40.66002
no,-73.86149,40.879814
no,-73.92238,40.83611
no,-73.93479,40.808784
no,-73.90436,40.86275
yes,-73.96249,40.635933
no,-73.94119,40.799194
no,-73.75823,40.680687
no,-73.9439,40.62925
no,-73.86943,40.749157
no,-73.8775,40.871834
no,-73.8486,40.87167
no,-73.88978,40.66699
no,-73.911026,40.667027
no,-73.83396,40.772697
yes,-73.91976,40.782513
no,-73.75682,40.720535
no,-73.887566,40.730194
no,-73.78809,40.673008
no,-73.73226,40.720375
no,-73.861046,40.744213
no,-73.86541,40.75301
no,-73.87406,40.689297
no,-73.97445,40.61642
no,-73.82947,40.6854
no,-73.953476,40.7198
no,-73.92689,40.61895
